student_name,branch,sem1_sub1_mark,sem1_sub2_mark,sem1_sub3_mark,sem1_sub4_mark,sem2_sub1_mark,sem2_sub2_mark,sem2_sub3_mark,sem2_sub4_mark,sem3_sub1_mark,sem3_sub2_mark,sem3_sub3_mark,sem3_sub4_mark,sem4_sub1_mark,sem4_sub2_mark,sem4_sub3_mark,sem4_sub4_mark,club_hours
Aniket Sharma,EEE,73,61,80,65,96,78,74,63,96,95,65,64,82,52,92,70,91
Harsh Reddy,AIDS,75,57,88,76,76,98,91,70,55,77,64,82,66,63,76,73,86
Harsh Mehra,EEE,57,86,89,100,61,99,93,89,71,76,98,56,93,89,65,85,89
Anirudh Kapoor,CIVIL,74,64,59,76,74,70,82,84,56,63,84,52,50,72,62,68,94
Shivam Bansal,EEE,3,40,4,16,45,14,4,32,24,17,40,19,43,27,16,23,15
Dhruv Deshmukh,MECH,70,57,83,51,58,76,89,73,61,97,91,57,97,72,93,99,90
Ayush Patel,CSE,87,71,56,71,91,62,56,73,80,67,58,66,66,51,87,81,95
Shivam Patel,MECH,78,51,92,72,80,53,78,86,77,83,55,92,77,65,90,93,85
Akhil Yadav,CIVIL,84,61,71,73,83,85,75,56,98,90,64,89,63,83,93,50,98
Tanish Saxena,CSE,88,91,73,67,82,83,98,82,65,96,68,51,53,65,95,75,96
Aman Tiwari,ECE,70,50,80,99,55,65,96,68,98,76,92,77,84,64,98,63,100
Rahul Sharma,ECE,11,15,26,44,22,19,31,11,39,49,9,4,5,24,33,21,16
Mayank Bansal,CIVIL,62,60,67,95,79,65,80,71,99,82,61,54,91,89,63,100,83
Anish Chopra,CIVIL,69,70,100,67,54,54,72,69,59,98,77,91,84,74,83,51,85
Tanish Reddy,CIVIL,87,87,58,83,58,68,82,64,78,57,71,83,52,82,78,96,98
Tanish Singh,CSE,59,53,68,78,93,97,52,88,69,54,52,71,94,75,53,61,90
Ayush Bansal,AIDS,65,78,98,74,85,80,61,63,82,76,80,74,73,95,84,76,96
Sahil Verma,MECH,52,67,93,63,99,58,91,62,85,79,60,74,97,86,50,87,85
Shreyas Jha,CSE,27,29,45,48,6,40,5,39,12,9,48,31,0,10,48,23,59
Shreyas Jha,ECE,60,75,50,88,99,91,90,74,79,69,75,83,68,60,75,68,93
Aniket Yadav,CSE,90,58,90,80,86,68,52,89,90,76,50,67,85,88,75,64,90
Ansh Mehra,MECH,87,82,71,86,75,82,97,73,90,80,55,51,50,55,72,91,99
Rahul Tiwari,AIDS,57,95,65,57,72,52,57,57,100,51,70,88,50,59,65,57,95
Anish Agarwal,MECH,65,88,54,81,60,83,76,55,63,64,99,80,52,91,51,68,95
Mayank Singh,CIVIL,56,56,91,84,74,90,68,58,66,67,98,79,93,58,60,93,89
Ishaan Deshmukh,AIDS,22,19,4,12,37,40,2,36,46,8,27,12,5,33,4,14,57
Rohan Reddy,MECH,91,89,90,60,93,90,67,71,78,54,60,81,61,88,92,73,86
Vikram Jha,AIDS,79,81,87,50,83,69,52,78,95,99,89,94,57,55,64,81,90
Aniket Yadav,EEE,73,67,86,64,95,65,81,64,69,76,61,90,76,72,73,100,80
Ayush Gupta,ECE,70,52,96,68,91,72,54,80,66,58,89,100,93,52,67,66,92
Karan Sinha,AIDS,77,81,71,56,56,53,60,91,62,50,84,52,70,87,72,57,91
Raj Deshmukh,MECH,66,90,97,90,100,64,100,63,94,78,65,51,78,73,65,98,95
Aryan Patel,ECE,2,25,17,49,37,5,13,20,6,34,23,26,37,39,24,1,17
Aarav Chopra,EEE,97,96,51,69,83,65,74,96,60,74,75,95,74,100,76,61,98
Samarth Patel,EEE,98,91,71,56,75,69,99,76,54,75,91,76,60,83,93,64,89
Kabir Sharma,ECE,53,62,62,61,82,61,99,59,79,69,94,53,91,89,75,60,84
Ansh Tiwari,EEE,99,81,76,66,95,64,72,99,52,67,100,84,60,76,88,75,93
Yash Kapoor,MECH,87,77,68,74,99,60,84,66,86,79,63,80,50,83,53,67,88
Arjun Singh,MECH,79,89,93,80,80,68,72,62,56,83,91,91,76,80,85,93,89
Karan Gupta,CSE,1,5,5,36,39,24,17,19,18,19,31,5,32,24,29,27,17
Harsh Verma,ECE,58,70,62,61,72,56,76,95,51,66,66,80,64,71,87,96,89
Aniket Chopra,AIDS,50,77,78,72,82,78,58,67,65,66,83,50,93,76,99,81,89
Shreyas Jha,AIDS,92,64,58,85,99,66,92,80,77,78,91,68,100,52,59,83,85
Krish Patel,CSE,96,84,54,78,96,51,51,65,97,97,61,82,75,58,89,75,88
Advait Varma,CSE,60,87,95,81,62,98,50,65,81,97,100,96,52,53,58,57,91
Akhil Bansal,EEE,69,83,63,87,100,73,99,71,98,69,99,76,60,79,64,67,91
Yash Gupta,AIDS,8,40,46,12,16,11,40,41,40,49,13,26,4,37,5,3,55
Sahil Reddy,ECE,91,77,72,93,64,71,58,85,70,61,67,67,81,63,61,95,86
Pranav Saxena,EEE,66,99,59,85,70,99,87,97,76,75,86,74,94,95,61,97,90
Vedant Singh,ECE,50,59,83,97,74,71,96,72,55,75,51,68,96,70,83,78,97
Abhinav Bansal,CSE,69,77,77,90,85,66,94,77,52,69,73,64,58,85,86,70,99
Sahil Yadav,CSE,77,56,89,63,64,51,85,59,83,77,67,58,55,67,69,100,81
Aryan Tiwari,AIDS,71,70,64,55,67,70,95,70,82,68,100,74,73,58,82,97,84
Aryan Tiwari,MECH,8,28,16,42,0,13,8,47,39,37,22,19,0,10,36,3,6
Surya Singh,EEE,67,55,74,61,58,59,96,51,83,73,57,83,80,81,71,60,89
Divyansh Bansal,AIDS,90,50,52,77,79,93,65,89,95,87,67,88,91,98,98,91,100
Yash Verma,ECE,61,88,69,56,99,78,96,82,70,69,73,95,75,53,89,90,95
Mohit Gupta,MECH,85,79,53,73,72,67,93,55,71,95,94,64,90,50,99,80,98
Krish Sharma,ECE,51,63,95,96,85,57,56,74,95,58,55,92,54,68,90,77,88
Anish Varma,EEE,59,82,60,60,52,85,71,74,94,88,92,56,84,80,83,88,86
Advait Mehra,AIDS,42,10,12,38,34,10,4,13,11,44,36,11,43,28,27,45,67
Harsh Mehra,CIVIL,51,82,71,96,89,61,59,80,54,68,91,66,87,87,96,51,95
Anish Reddy,MECH,66,65,99,66,70,54,58,89,50,66,80,94,66,60,99,57,93
Anish Agarwal,CIVIL,83,65,65,78,66,93,80,78,68,53,64,61,99,89,51,58,100
Harsh Tiwari,CSE,75,71,82,97,89,96,90,50,95,94,60,73,68,66,60,83,82
Mayank Agarwal,EEE,73,86,86,89,52,82,67,56,55,98,67,60,65,99,92,63,93
Kabir Chopra,AIDS,53,99,68,64,95,69,76,60,58,50,52,98,54,72,89,74,98
Shivam Bansal,ECE,48,25,26,14,30,19,1,32,37,34,1,5,16,19,40,45,5
Tanish Reddy,CIVIL,96,94,62,89,96,81,81,67,74,85,53,75,70,72,86,72,96
Aryan Yadav,CIVIL,74,88,85,68,99,69,86,68,67,86,85,92,96,54,88,54,96
Yash Deshmukh,ECE,75,93,94,51,91,83,73,99,100,64,59,94,79,55,97,52,86
Harsh Deshmukh,EEE,50,75,71,77,88,57,61,86,78,54,84,54,75,69,100,56,85
Siddharth Yadav,CIVIL,70,79,77,50,72,99,79,59,77,53,89,88,97,57,73,93,90
Aarush Verma,CIVIL,84,70,98,97,75,84,55,96,65,69,66,67,71,84,87,94,80
Vikram Sinha,CSE,16,31,13,37,21,46,49,37,1,17,33,6,48,8,48,35,12
Mohit Kapoor,CSE,50,51,92,95,77,64,87,71,84,56,70,61,77,96,69,94,87
Shivam Jha,MECH,89,72,60,89,58,51,71,95,58,51,67,67,90,57,87,76,83
Utkarsh Patel,CSE,76,71,77,78,77,81,55,91,88,78,70,54,63,70,50,77,89
Shreyas Bansal,MECH,77,98,54,100,89,50,67,89,79,89,53,78,73,62,88,62,95
Karan Sinha,EEE,81,55,67,82,74,81,65,78,50,70,64,55,65,52,63,99,82
Atharva Sinha,CSE,69,54,68,63,92,53,60,78,69,58,75,67,93,67,78,80,84
Aman Varma,CSE,15,1,20,22,0,19,24,11,24,13,49,5,47,39,11,4,29
Arjun Chopra,CIVIL,87,63,95,70,59,79,84,88,75,51,89,58,81,51,78,89,83
Aniket Agarwal,EEE,67,62,93,75,86,57,53,86,77,70,76,85,92,77,96,91,84
Mohit Singh,AIDS,66,60,82,67,57,95,68,91,67,66,74,89,74,58,76,62,94
Shivam Deshmukh,CIVIL,74,64,100,86,98,96,63,60,89,84,88,83,91,83,67,72,97
Ishaan Varma,EEE,88,89,76,51,85,54,93,54,61,87,92,58,51,53,50,77,81
Ishaan Sinha,MECH,74,69,71,56,97,79,69,77,64,88,95,67,72,76,81,51,88
Krish Agarwal,CSE,11,9,19,14,18,47,13,42,18,45,15,14,17,28,6,33,26
Ayush Agarwal,CSE,60,100,81,95,69,100,94,73,63,68,96,96,51,58,64,84,97
Harsh Gupta,CSE,79,90,56,58,82,54,53,55,92,56,83,55,94,95,95,60,87
Abhinav Agarwal,CSE,85,80,82,99,77,87,80,92,100,85,94,84,90,58,58,92,80
Rohan Deshmukh,ECE,92,50,92,94,54,93,61,58,53,80,90,64,96,83,53,81,98
Dhruv Tiwari,ECE,93,64,97,80,67,73,100,80,81,56,57,89,93,70,87,76,97
Vedant Singh,CSE,67,54,65,71,69,77,62,94,73,80,89,70,57,62,91,72,80
Ishaan Jha,ECE,7,45,38,6,27,29,26,10,34,16,12,16,46,42,16,40,8
Harsh Sinha,EEE,71,81,70,66,74,65,53,66,64,61,78,83,84,89,79,54,98
Aniket Yadav,ECE,66,65,53,66,53,76,67,72,58,67,98,98,90,85,97,61,97
Divyansh Mehra,CSE,71,95,77,72,98,93,93,87,92,100,57,74,69,77,99,56,91
Tanish Gupta,ECE,88,59,51,62,100,74,68,54,86,67,80,93,53,85,65,82,93
Karan Bansal,EEE,54,59,85,91,96,87,80,71,77,96,68,68,54,95,59,99,100
Yash Mehra,ECE,66,88,69,95,61,79,70,67,78,100,89,73,64,97,61,84,94
Manav Sharma,AIDS,36,26,21,8,42,13,27,42,40,34,28,16,15,37,27,28,55
Nikhil Mehra,ECE,54,87,91,51,97,64,52,60,99,93,79,89,83,74,62,81,83
Sahil Patel,CSE,61,70,72,75,73,72,97,54,56,78,56,98,56,68,63,76,85
Aarush Gupta,EEE,53,93,65,83,63,80,83,52,59,58,91,57,51,76,62,69,93
Aarush Mehra,MECH,77,53,51,82,82,74,100,74,61,55,89,97,66,96,100,93,86
Rahul Singh,CIVIL,83,97,76,64,73,93,67,68,82,67,52,72,67,58,90,91,84
Surya Deshmukh,EEE,87,75,61,98,69,71,97,53,98,78,73,51,66,82,78,98,80
Vikram Agarwal,MECH,30,15,2,39,34,34,25,28,18,31,10,6,26,30,19,9,34
Atharva Verma,MECH,70,58,56,64,54,90,64,61,73,88,87,61,69,95,73,84,85
Mayank Sinha,MECH,54,79,61,84,80,87,55,89,94,68,66,50,50,82,62,50,92
Pranav Yadav,EEE,89,92,97,85,68,95,76,78,66,79,99,74,77,53,55,92,91
Dhruv Reddy,ECE,75,69,95,87,56,89,95,96,64,100,92,53,81,97,73,78,82
Mohit Yadav,EEE,63,57,94,61,78,68,70,98,68,88,95,95,87,92,50,85,87
Harsh Agarwal,CIVIL,99,100,74,97,60,79,91,90,69,55,53,57,77,66,98,76,100
Sahil Reddy,EEE,29,30,13,0,48,16,40,16,2,30,17,41,25,9,12,46,37
Utkarsh Chopra,AIDS,75,68,79,86,89,57,79,81,62,67,87,51,51,73,71,82,81
Aarav Deshmukh,AIDS,90,57,94,97,90,52,96,59,83,73,62,74,94,84,58,87,87
Anish Chopra,AIDS,88,92,83,75,99,52,78,85,76,53,69,65,91,65,86,78,93
Yash Sinha,CSE,85,50,73,76,56,61,64,64,87,99,91,64,84,87,97,85,83
Arjun Jha,MECH,97,72,53,62,87,84,87,59,74,88,96,88,63,97,52,75,88
Advait Kapoor,EEE,76,52,100,70,50,91,87,61,96,82,87,61,84,72,86,97,100
Akhil Varma,CSE,26,40,7,8,13,13,17,34,29,29,42,21,32,47,0,32,5
Pranav Varma,AIDS,80,77,66,78,98,55,54,53,92,61,63,93,85,94,86,81,93
Samarth Tiwari,EEE,76,78,82,76,63,81,94,79,79,82,54,76,52,63,61,66,86
Tanish Singh,MECH,99,66,52,72,93,58,84,63,91,100,89,72,68,80,66,92,92
Karan Sinha,EEE,72,84,51,74,87,97,76,55,65,81,81,69,98,84,69,64,98
Ansh Reddy,CIVIL,52,91,74,70,66,93,64,70,70,97,78,85,90,53,85,83,94
Anirudh Sinha,AIDS,84,84,71,67,69,93,83,70,73,95,92,95,96,99,93,100,85
Ansh Kapoor,ECE,29,43,18,25,5,42,15,2,30,19,21,9,34,30,45,6,18
Samarth Tiwari,ECE,68,91,72,78,66,89,52,72,52,65,96,82,90,79,65,93,82
Karan Yadav,MECH,97,63,65,78,95,76,86,50,53,89,85,91,99,90,79,87,80
Shivam Gupta,ECE,58,69,57,70,87,75,80,62,98,65,59,82,98,74,77,77,96
Aman Deshmukh,CSE,79,52,80,52,63,97,59,73,88,62,89,89,65,76,58,87,90
Atharva Kapoor,CSE,78,85,96,58,85,84,96,81,77,94,68,51,79,96,93,80,95
Dhruv Yadav,EEE,98,96,80,79,57,61,63,99,63,73,87,95,96,96,82,53,95
Pranav Kapoor,AIDS,2,11,15,9,24,47,26,34,40,45,5,33,7,11,41,21,23
Ishaan Patel,AIDS,53,67,53,82,59,68,86,100,83,100,71,98,97,54,54,73,93
Ayush Yadav,EEE,84,85,87,90,73,66,55,59,56,66,93,51,85,98,74,53,86
Atharva Jha,ECE,59,84,73,68,86,80,67,96,96,55,81,59,66,67,88,63,84
Tanish Saxena,EEE,72,58,88,99,92,55,100,78,58,74,69,56,98,77,96,83,87
Shreyas Bansal,ECE,54,64,54,76,58,64,61,82,93,83,57,98,71,53,50,76,81
Akhil Agarwal,AIDS,91,99,81,62,100,58,67,84,78,80,92,53,99,53,55,69,91
Aarush Yadav,ECE,48,28,0,12,7,32,24,15,5,7,49,3,44,44,0,13,27
Ansh Deshmukh,CIVIL,51,97,59,58,61,57,72,68,87,61,58,62,74,84,63,65,89
Atharva Sinha,CSE,75,73,91,65,83,89,50,67,62,69,67,55,55,81,89,60,86
Dhruv Deshmukh,MECH,71,88,59,62,96,54,94,70,74,54,67,95,79,86,94,67,98
Rohan Varma,EEE,89,78,74,85,72,61,65,88,73,88,91,58,89,79,51,73,92
Shivam Singh,EEE,60,83,69,68,67,86,99,64,92,78,51,84,51,79,57,80,84
Raj Agarwal,AIDS,97,74,83,99,88,91,72,73,81,53,51,60,64,97,91,100,96
Aniket Kapoor,CIVIL,13,14,45,35,2,5,28,31,37,49,37,13,6,21,12,36,78
Rahul Bansal,AIDS,91,87,84,65,96,71,95,67,78,60,97,86,72,82,94,87,95
Nikhil Bansal,CIVIL,52,80,71,59,98,59,83,77,81,56,71,83,94,51,90,84,100
Ansh Gupta,MECH,65,61,63,50,92,84,55,90,54,55,92,55,94,93,86,92,99
Karan Deshmukh,MECH,89,83,74,88,100,67,91,63,99,51,57,58,91,78,87,86,88
Siddharth Patel,MECH,80,94,67,66,67,53,69,73,74,71,86,92,59,74,82,99,81
Advait Reddy,AIDS,62,78,68,78,90,69,73,55,57,86,53,63,70,86,53,88,100
Atharva Tiwari,EEE,2,0,1,22,17,8,48,5,32,29,33,0,20,31,30,34,78
Shreyas Deshmukh,CSE,69,87,74,96,55,92,59,76,52,61,84,80,62,74,67,73,100
Aman Mehra,CSE,66,60,96,81,100,81,69,91,69,59,82,85,50,82,82,70,90
Atharva Sinha,CSE,84,50,72,86,92,93,71,78,95,68,59,81,96,95,78,67,81
Aniket Gupta,CIVIL,99,73,76,93,63,82,62,67,63,72,63,66,92,99,100,67,95
Rohan Saxena,EEE,84,92,94,53,86,81,57,72,86,51,67,89,82,82,57,80,91
Raj Patel,CSE,54,79,69,60,75,73,62,100,83,82,63,51,55,98,69,85,91
Rahul Chopra,CSE,11,31,19,14,20,18,19,23,32,14,23,7,8,26,43,49,33
Pranav Chopra,ECE,56,51,71,79,56,68,83,90,82,84,98,82,86,75,63,90,87
Tanish Patel,ECE,90,89,78,58,100,87,57,69,53,66,97,57,77,66,66,54,92
Aarav Varma,CIVIL,50,85,83,72,79,56,87,74,85,75,97,95,92,52,50,71,82
Rishi Sinha,ECE,82,93,51,62,91,76,67,69,72,85,50,58,51,100,70,92,82
Rishi Jha,MECH,80,93,69,88,68,81,97,72,51,69,100,76,52,50,84,83,93
Dhruv Deshmukh,MECH,76,78,90,77,96,87,78,53,85,80,98,85,72,55,95,56,100
Aryan Sharma,AIDS,7,38,41,42,14,2,14,40,42,0,44,39,29,37,36,3,15
Kabir Chopra,CIVIL,83,99,75,75,67,83,87,52,91,64,53,82,82,78,78,62,98
Rishi Varma,MECH,97,59,53,88,90,58,51,76,85,81,91,86,99,57,51,94,98
Dhruv Chopra,EEE,75,66,79,83,65,56,89,89,56,86,80,60,72,62,60,90,84
Karan Yadav,AIDS,94,90,80,77,65,98,69,85,56,75,76,53,80,79,55,85,94
Ankur Chopra,AIDS,50,84,62,57,56,95,61,52,96,82,51,73,70,91,63,68,88
Aarush Kapoor,CIVIL,58,82,94,61,68,79,68,98,88,72,54,69,96,78,81,73,93
Pranav Mehra,CIVIL,28,15,15,20,44,2,24,9,36,31,20,44,48,39,8,42,65
Vedant Yadav,EEE,80,89,62,60,82,62,66,77,97,82,89,73,75,64,51,99,97
Akhil Jha,CSE,52,57,96,54,76,68,54,94,93,58,70,95,94,62,60,54,98
Manav Reddy,ECE,98,72,95,87,77,64,93,76,64,69,86,76,59,56,74,71,87
Rishi Mehra,CSE,55,63,55,99,92,74,95,91,63,59,63,64,68,65,100,50,86
Rahul Saxena,ECE,63,82,90,97,58,93,73,62,73,69,73,73,60,71,92,85,88
Samarth Kapoor,MECH,81,70,80,69,82,78,61,99,86,89,80,100,86,82,70,66,92
Aman Mehra,EEE,33,24,40,20,30,24,41,18,19,47,6,6,5,40,42,45,64
Ansh Yadav,MECH,72,50,82,57,64,68,57,100,98,76,82,80,72,64,93,80,88
Advait Bansal,AIDS,64,65,76,53,74,73,88,67,82,94,52,93,65,89,51,93,84
Dhruv Gupta,CSE,80,86,92,89,57,80,75,61,98,81,89,100,63,70,75,94,88
Akhil Kapoor,ECE,95,70,61,74,75,94,78,66,90,71,63,87,89,62,99,99,87
Ayush Verma,EEE,83,96,53,100,77,55,68,99,81,64,88,58,80,61,70,99,83
Raj Reddy,EEE,87,75,97,65,77,56,68,67,80,61,55,83,86,76,75,60,81
Mayank Jha,EEE,45,22,18,35,11,14,36,14,30,35,1,35,21,45,36,26,62
Siddharth Yadav,AIDS,91,76,73,96,100,83,90,91,99,97,90,81,60,52,57,55,96
Divyansh Sinha,MECH,58,98,79,67,70,59,58,60,100,53,78,94,84,73,72,78,92
Abhinav Varma,CSE,58,68,98,54,60,74,72,81,92,77,90,84,68,71,93,59,92
Advait Yadav,CSE,73,67,93,93,58,72,54,63,68,93,92,89,79,69,73,88,92
Shreyas Patel,EEE,72,54,76,85,90,78,53,64,65,79,82,93,95,91,70,95,92
Aman Jha,CSE,80,51,61,94,96,58,54,57,52,55,74,70,70,86,68,86,94
Karan Varma,EEE,44,37,7,46,31,20,15,46,9,29,43,42,3,36,17,28,18
Akhil Kapoor,CIVIL,97,69,64,86,70,67,70,73,67,79,69,88,72,92,58,98,90
Aarush Bansal,ECE,63,60,77,68,86,69,94,78,94,71,98,56,84,71,54,77,87
Nikhil Mehra,AIDS,67,68,68,87,100,68,65,75,93,70,51,84,52,79,58,67,91
Kabir Kapoor,EEE,81,99,98,69,100,54,90,87,60,78,55,55,80,62,50,58,95
Mayank Agarwal,CIVIL,100,83,70,61,70,89,85,86,60,84,87,96,72,67,73,92,80
Tanish Chopra,AIDS,56,56,74,74,72,88,83,95,95,65,52,64,98,54,58,89,93
Abhinav Varma,CIVIL,14,27,6,17,19,27,21,17,47,49,11,17,31,23,26,10,57
Rohan Reddy,AIDS,90,63,76,93,73,99,54,94,90,60,76,98,61,94,94,57,92
Dhruv Varma,EEE,70,72,94,68,98,78,54,52,82,50,73,94,95,50,56,65,97
Ayush Deshmukh,CSE,67,71,56,64,52,91,63,53,70,80,70,97,81,95,89,95,90
Advait Agarwal,ECE,53,86,55,60,62,83,53,74,86,86,93,63,54,73,93,77,84
Utkarsh Singh,AIDS,98,56,76,52,86,59,98,80,50,85,81,99,51,84,54,54,95
Aniket Sinha,EEE,97,66,88,50,91,68,79,94,97,96,92,93,64,55,83,67,87
Samarth Gupta,MECH,21,41,0,25,44,33,38,25,18,10,34,0,17,49,31,40,20
Dhruv Tiwari,ECE,92,77,82,90,69,85,86,73,53,69,50,80,98,52,77,97,81
Siddharth Bansal,CSE,54,63,92,56,96,92,69,66,97,91,95,61,69,82,90,56,93
Ishaan Sharma,EEE,100,50,90,69,58,85,55,60,52,73,88,83,54,62,93,62,86
Yash Verma,ECE,51,57,72,65,85,59,72,97,76,62,83,62,85,88,78,52,88
Siddharth Reddy,CSE,99,77,80,91,54,64,67,75,87,90,70,52,51,54,54,87,80
Abhinav Verma,CSE,52,86,99,63,73,65,88,57,72,87,71,89,94,68,99,74,88
Tanish Singh,AIDS,33,44,16,20,42,47,28,32,1,48,42,41,43,36,7,49,10
Vikram Bansal,AIDS,72,77,50,56,60,57,73,91,67,57,57,71,89,93,96,64,93
Anish Saxena,CSE,100,100,89,100,82,92,66,94,72,83,51,87,75,61,50,56,95
Kabir Kapoor,EEE,81,68,77,87,76,69,89,55,93,90,90,63,74,59,79,62,91
Pranav Sinha,CIVIL,75,85,93,75,94,56,78,56,52,60,94,96,54,94,94,98,83
Nikhil Saxena,CSE,77,54,53,79,84,53,64,87,56,86,78,75,75,68,66,60,98
Mohit Deshmukh,CIVIL,81,62,52,79,89,88,60,64,89,61,97,87,57,74,81,58,98
Vedant Jha,EEE,21,27,0,30,19,7,13,45,17,38,13,15,31,44,39,40,28
Karan Kapoor,MECH,94,94,94,80,77,67,80,85,81,82,95,89,84,61,97,86,90
Rahul Sinha,ECE,96,95,81,99,79,87,76,77,66,100,87,88,89,71,80,59,82
Anirudh Kapoor,EEE,76,88,65,55,69,54,87,55,88,68,61,54,68,56,81,60,96
Abhinav Chopra,CSE,68,66,63,96,57,92,60,88,90,88,55,98,84,85,100,54,86
Krish Agarwal,CIVIL,73,51,69,54,53,72,64,99,70,88,100,66,83,92,69,55,84
Anish Verma,CIVIL,100,98,91,74,59,53,59,70,71,81,99,82,93,95,72,55,100
Aman Patel,CSE,31,10,47,49,28,46,11,37,15,41,27,46,45,18,30,12,38
Utkarsh Gupta,ECE,64,82,68,93,52,95,69,74,94,64,68,59,58,91,65,96,80
Akhil Deshmukh,CIVIL,100,63,72,96,93,51,76,73,81,68,53,89,82,74,95,85,95
Aryan Jha,CSE,68,78,87,78,96,69,87,72,53,65,88,82,52,53,63,50,84
Surya Verma,MECH,72,89,92,50,66,75,71,81,78,55,85,57,78,93,67,62,92
Shreyas Singh,EEE,78,58,99,52,54,73,78,83,96,67,79,69,64,57,54,64,98
Anish Mehra,AIDS,63,87,90,98,82,70,56,57,60,58,97,93,66,77,80,98,85
Abhinav Kapoor,EEE,44,45,39,30,41,24,27,27,18,43,6,44,30,16,48,29,20
Karan Chopra,ECE,88,97,81,80,98,71,59,62,54,77,100,82,64,92,83,81,92
Akhil Bansal,CSE,57,91,72,68,59,61,92,91,91,61,50,78,83,61,86,79,98
Akhil Jha,MECH,73,75,54,92,64,52,61,99,66,83,92,82,90,75,69,51,92
Shreyas Reddy,AIDS,59,80,67,69,78,72,91,65,86,92,51,92,62,92,55,62,80
Harsh Yadav,CSE,95,53,50,68,58,58,80,72,63,55,75,98,90,58,73,96,100
Ansh Sharma,ECE,61,98,96,80,97,74,59,60,77,51,70,55,55,81,85,52,85
Krish Sinha,MECH,33,10,4,9,5,48,43,1,13,48,7,27,4,13,49,43,10
Tanish Mehra,EEE,92,52,91,81,88,71,57,86,51,52,58,88,91,75,59,56,100
Mohit Verma,CIVIL,74,60,52,57,84,50,91,96,70,92,86,100,78,50,99,84,90
Rahul Agarwal,CIVIL,59,92,56,61,98,84,95,84,68,77,92,80,57,86,62,61,91
Advait Varma,ECE,83,76,83,62,50,72,67,70,78,69,61,72,73,54,66,68,97
Vedant Reddy,EEE,89,50,100,95,68,100,66,80,85,81,50,97,51,63,75,78,91
Aniket Gupta,EEE,67,68,82,87,73,87,64,52,53,93,73,59,75,52,76,100,99
Aarav Reddy,EEE,29,37,20,32,9,37,3,41,10,28,1,37,35,34,17,33,54
Pranav Gupta,CIVIL,57,97,50,85,66,53,100,84,92,98,63,50,99,58,63,54,95
Kabir Sinha,CIVIL,61,64,97,93,84,98,65,70,70,86,88,93,74,83,61,82,96
Vikram Sinha,CSE,87,64,60,89,59,66,70,54,92,65,97,73,81,73,62,67,100
Abhinav Singh,EEE,88,87,63,100,65,77,90,68,83,83,51,94,92,92,69,81,89
Krish Yadav,MECH,77,85,54,75,74,77,90,75,78,92,85,74,58,98,54,57,87
Aniket Deshmukh,MECH,67,58,60,86,77,93,59,53,82,73,94,96,85,73,80,77,92
Vikram Patel,CIVIL,13,11,14,13,48,12,34,2,20,1,15,15,47,1,19,35,2
Utkarsh Mehra,MECH,95,80,70,82,92,56,80,98,71,70,75,63,77,82,90,60,85
Shivam Varma,CSE,90,74,78,52,99,77,76,77,57,62,68,87,85,73,88,72,84
Siddharth Tiwari,MECH,85,62,68,93,81,88,100,76,99,99,96,83,57,50,98,69,99
Harsh Patel,CIVIL,60,95,60,86,50,97,93,70,66,60,87,55,82,62,69,55,95
Raj Verma,AIDS,51,89,86,54,54,78,85,95,79,67,70,53,95,56,55,89,98
Ishaan Sinha,ECE,88,68,85,81,86,85,92,80,68,74,60,88,93,54,99,99,95
Anish Agarwal,AIDS,29,0,21,43,49,39,20,26,34,37,47,8,49,7,25,36,35
Aniket Sharma,MECH,91,94,89,90,69,97,83,59,76,77,99,82,54,59,89,98,88
Akhil Gupta,EEE,86,51,51,72,99,99,61,82,73,53,60,77,59,71,59,79,87
Abhinav Tiwari,ECE,87,69,95,58,89,87,93,52,57,97,71,61,77,90,84,50,93
Aarush Patel,CSE,80,88,60,82,76,63,98,71,85,64,59,63,66,76,64,64,90
Advait Agarwal,MECH,98,95,100,76,78,73,69,89,97,87,69,61,50,78,63,56,85
Ayush Gupta,CIVIL,58,62,79,53,53,84,91,91,71,76,97,76,60,87,59,89,90
Aniket Jha,CSE,34,38,27,21,35,43,48,36,49,29,23,21,22,0,30,33,12
Rohan Yadav,CIVIL,80,79,92,100,90,74,99,91,70,67,54,96,66,59,92,85,100
Advait Patel,MECH,95,50,90,81,57,53,53,64,65,72,65,58,97,93,100,97,89
Aniket Chopra,MECH,57,82,86,77,91,79,51,75,55,77,84,76,59,65,61,62,95
Abhinav Reddy,CIVIL,67,54,98,77,95,68,67,87,64,85,52,87,93,80,78,99,89
Yash Sharma,MECH,63,93,60,83,75,92,73,98,75,83,92,70,97,88,97,81,97
Rohan Yadav,ECE,84,73,56,60,71,83,74,79,55,93,97,95,87,95,62,97,93
Divyansh Patel,EEE,40,43,15,17,49,47,10,8,27,22,44,47,24,28,48,21,19
Atharva Deshmukh,AIDS,55,100,86,69,92,61,76,92,98,99,62,54,93,51,98,81,95
Samarth Sinha,ECE,69,51,60,90,83,80,68,94,97,70,55,53,52,51,71,91,89
Advait Varma,MECH,58,84,59,64,90,51,68,57,90,80,64,51,50,60,67,85,99
Aarav Agarwal,ECE,82,55,99,64,80,53,68,87,93,77,88,60,69,57,78,61,94
Samarth Gupta,MECH,52,69,97,64,61,53,96,86,71,74,76,81,52,50,87,64,83
